project_id,project_name,days_remaining,project_manager,team_size,avg_velocity,completed_tasks,total_tasks,completion_rate,avg_utilization_pct,delayed_flag
1,Leverage Collaborative Paradigms,41,Yesenia Simpson,14,53.6,137,170,80.58823529411765,89,0
2,Grow Intuitive E-Commerce,41,Jamie Scott,8,59.4,52,70,74.28571428571429,74,0
3,Streamline Proactive Portals,12,Joseph Parker,14,35.4,150,161,93.16770186335404,98,1
4,Leverage Viral Metrics,46,Tina Richards,11,30.0,107,109,98.1651376146789,60,0
5,Incubate Frictionless Markets,27,Jesse Smith,5,59.2,70,133,52.63157894736842,77,1
6,Monetize Synergistic Convergence,34,Garrett Cooper,12,47.8,133,195,68.2051282051282,95,1
7,Leverage Seamless Initiatives,51,Christopher Lucero,6,52.2,41,108,37.96296296296296,70,1
8,Orchestrate Turn-Key E-Services,22,Terry Burch,11,59.2,25,77,32.467532467532465,97,1
9,Target Frictionless Functionalities,56,Teresa Carlson,7,32.6,90,112,80.35714285714286,89,0
10,Scale One-To-One E-Commerce,52,Vanessa Davis,6,35.4,81,135,60.0,96,1
11,Iterate Vertical Portals,35,Michael Smith,13,23.8,126,217,58.06451612903226,85,1
12,Generate Value-Added Methodologies,10,Jordan Taylor,5,48.4,110,155,70.96774193548387,63,0
13,Brand Open-Source Networks,56,Timothy Mcintosh,8,40.0,108,185,58.37837837837838,85,1
14,Orchestrate Dot-Com Networks,15,Amanda Porter,5,45.2,124,181,68.50828729281768,88,1
15,Orchestrate Enterprise Initiatives,32,Hector Johnson,4,33.6,48,97,49.48453608247423,60,1
16,Streamline Compelling Eyeballs,25,Troy Butler,3,43.0,93,184,50.54347826086957,64,1
17,Expedite Real-Time E-Tailers,4,James Buckley,3,25.4,170,176,96.5909090909091,70,1
18,Leverage Proactive Partnerships,46,Dr. Lori Taylor,11,53.4,119,192,61.979166666666664,95,1
19,Morph Distributed Platforms,3,Cody Morgan,11,43.8,74,97,76.28865979381443,63,1
20,Revolutionize Mission-Critical Networks,31,Alexander King,8,54.8,169,199,84.92462311557789,60,0
21,Harness Next-Generation Roi,58,Chelsea Li,4,15.4,117,187,62.56684491978609,75,1
22,Expedite Clicks-And-Mortar E-Markets,54,Devin Lam,10,19.2,184,235,78.29787234042553,63,0
